Class,Precision,Recall,F1,Accuracy,Support
acc,1.0,1.0,1.0,1.0,6
advil,1.0,1.0,1.0,1.0,6
akineton,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
algoflex,1.0,1.0,1.0,1.0,12
algopyrin,1.0,1.0,1.0,1.0,6
ambroxol,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
apranax,1.0,1.0,1.0,1.0,6
aspirin,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
atoris,1.0,1.0,1.0,1.0,6
atorvastatin,0.8571428571428571,1.0,0.9230769230769231,1.0,6
betaloc,1.0,1.0,1.0,1.0,6
bila,0.8571428571428571,1.0,0.9230769230769231,1.0,6
c,1.0,1.0,1.0,1.0,6
calci,1.0,1.0,1.0,1.0,6
cataflam,1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888,18
cetirizin,1.0,1.0,1.0,1.0,6
co,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
cold,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
coldrex,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
concor,1.0,1.0,1.0,1.0,12
condrosulf,1.0,1.0,1.0,1.0,6
controloc,1.0,1.0,1.0,1.0,6
covercard,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
coverex,1.0,1.0,1.0,1.0,6
diclopram,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
donalgin,0.8571428571428571,1.0,0.9230769230769231,1.0,6
dorithricin,0.8571428571428571,1.0,0.9230769230769231,1.0,6
doxazosin,1.0,1.0,1.0,1.0,12
dulodet,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,6
dulsevia,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8333333333333334,6
enterol,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
escitil,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
favipiravir,0.75,1.0,0.8571428571428571,1.0,6
frontin,0.9,0.75,0.8181818181818182,0.75,12
furon,0.8571428571428571,1.0,0.9230769230769231,1.0,6
ibumax,1.0,1.0,1.0,1.0,6
indastad,0.625,0.8333333333333334,0.7142857142857143,0.8333333333333334,6
jutavit,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.6666666666666666,12
kalcium,1.0,1.0,1.0,1.0,6
kalium,1.0,1.0,1.0,1.0,6
ketodex,1.0,1.0,1.0,1.0,6
koleszterin,1.0,1.0,1.0,1.0,6
l,0.8571428571428571,1.0,0.9230769230769231,1.0,6
lactamed,1.0,1.0,1.0,1.0,6
lactiv,0.75,1.0,0.8571428571428571,1.0,6
